成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
まま	まま:まま［気の向く〜］:ママ	116	あい あえ あく あぐ あた あに あみ あり いく いご いし いじ いす いど いみ いめ いや いよ いり いる うえ うさ うす うほ うみ うれ えお えか えき えじ えて えで えな えば おが おけ かぢ かな がり がん きす きっ きつ きね き きり きん ぎれ ぎわ くじ くす くら くる くー ぐれ ぐろ けな げつ げゆ こよ ごた ごひ ごん さつ さん した しつ しね しり じゃ じり じん たに たぶ たり だめ だや ちっ っと っぷ つな つひ つみ つり てー とと とめ とも とり どべ どら どり なび なり なー にん ねー のる はべ はれ ぱー ひる ひろ ひん ふゆ ふり ふん ほん ん みる みん める めん もり りわ ろん	あいま あえま あくま あぐま あたま あにま あまみ あまり いくま いごま いしま いじま いすま いどま いまみ いまめ いまや いまよ いまり いまる うえま うさま うすま うほま うまみ うまれ えおま えかま えきま えじま えてま えでま えなま えばま おがま おけま かぢま かなま がまり がまん きすま きっま きつま きねま きまま きまり きまん ぎまれ ぎまわ くじま くすま くまら くまる くまー ぐまれ ぐまろ けなま げつま げまゆ こまよ ごたま ごひま ごまん さつま さまん したま しつま しねま しまり じまゃ じまり じまん たにま たぶま たまり だまめ だまや ちっま っとま っぷま つなま つひま つまみ つまり てまー ととま とまめ とまも とまり どべま どまら どまり なびま なまり なまー にまん ねまー のまる はべま はまれ ぱまー ひまる ひまろ ひまん ふまゆ ふまり ふまん ほまん ままん まみる まみん まめる まめん まもり まりわ まろん	合間 甘え 悪魔 雨具 頭（あたま） マニア 甘み 余り マイク 迷子（まいご） 姉妹（しまい） 毎時 住まい:睡魔:麻酔 毎度 見舞い めまい 病（やまい） 毎夜:迷い 参り マイル 真上 うまさ マウス 魔法 うまみ 生まれ お前 構え 気前 自前 手前（てまえ） 出前 名前 前歯 真顔 おまけ 間近 仲間 曲がり 我慢:漫画 すき間 末期 期末 招き 気まま 決まり 満期 紛れ 間際 字幕 マスク まくら 車（くるま） マーク まぐれ まぐろ 怠け まつげ まゆ毛 真横 卵（たまご） ひ孫 五万 摩擦 さんま 真下 始末 シネマ 締まり 邪魔 まじり（交・混）:混じり 自慢 谷間（たにま） まぶた たまり 目玉 山田 マッチ マット マップ 真夏 飛沫 つまみ 祭り:詰まり テーマ トマト まとめ まとも:まとも［〜に］ 泊まり 窓辺 ドラマ 間取り 学び なまり マナー 二万（にまん） マネー ノルマ 浜辺 晴れ間 パーマ 昼間（ひるま）:真昼 広間 肥満 真冬 フリマ 不満 ほんま まんま［その〜］ まるみ（丸・円）:丸み 未満 丸め メンマ 守り 周り:回り マロン:ロマン
まめ	まめ:豆	5	い だ と る ん	いまめ だまめ とまめ まめる まめん	めまい 目玉 まとめ 丸め メンマ
まや	山（やま）	2	い だ	いまや だまや	病（やまい） 山田
まゆ	まゆ	2	げ ふ	げまゆ ふまゆ	まゆ毛 真冬
まる	まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる）	6	い く の ひ み め	いまる くまる のまる ひまる まみる まめる	マイル 車（くるま） ノルマ 昼間（ひるま）:真昼 まるみ（丸・円）:丸み 丸め
まん	万	13	が き ご さ じ に ひ ふ ほ ま み め ろ	がまん きまん ごまん さまん じまん にまん ひまん ふまん ほまん ままん まみん まめん まろん	我慢:漫画 満期 五万 さんま 自慢 二万（にまん） 肥満 不満 ほんま まんま［その〜］ 未満 メンマ マロン:ロマン
みみ	耳	144	あか あじ あつ あど あま あゆ ある いず いた いて いま いや いら うけ うち うの うふ うべ うま うよ うら えば おも かが かき かく かけ かこ かす かた かぢ かっ かつ かな かふ かゆ から かん がき がて がに がひ がめ がゆ がる がわ きき きむ きり きわ ぎず ぎて くし くた くふ くぼ くむ くゃ くや くる ぐめ けわ けん げは げや こし こに この こへ こ こよ こん ごろ さし さは さん した しだ しち しぶ しゅ しろ しん じな じも じん すす すせ すて すと すぬ すや ずは せば ぜん そほ そよ ぞの たた たち たて たの ため たる だな だれ ちぢ ちな ちよ ちん っつ つつ つど つな つに つひ つま つよ てよ とな とひ とめ とろ とん どり なは な なや なり なん のや のゆ のり ふん ぶり ぶん ほん まる まん ゆる よわ らー りん れん	あかみ あじみ あつみ あどみ あまみ あみゆ あみる いずみ いたみ いてみ いまみ いみや いみら うけみ うちみ うのみ うふみ うべみ うまみ うみよ うみら えばみ おみも かがみ かきみ かくみ かけみ かこみ かすみ かたみ かぢみ かっみ かつみ かなみ かふみ かみゆ かみら かみん がきみ がてみ がにみ がひみ がみめ がみゆ がみる がみわ ききみ きみむ きみり きみわ ぎずみ ぎてみ くしみ くたみ くふみ くぼみ くみむ くみゃ くみや くみる ぐみめ けみわ けみん げはみ げみや こしみ こにみ このみ こへみ こみみ こみよ こみん ごみろ さしみ さはみ さみん したみ しだみ しちみ しぶみ しみゅ しみろ しみん じなみ じみも じみん すすみ すせみ すてみ すとみ すぬみ すみや ずはみ せばみ ぜみん そほみ そみよ ぞのみ たたみ たちみ たてみ たのみ たみめ たみる だなみ だみれ ちぢみ ちなみ ちみよ ちみん っつみ つつみ つどみ つなみ つにみ つひみ つまみ つみよ てみよ となみ とひみ とみめ とみろ とみん どみり なはみ なみみ なみや なみり なみん のみや のみゆ のみり ふみん ぶみり ぶみん ほみん まみる まみん みゆる みよわ みらー みりん みれん	赤身 味見 厚み 網戸 甘み 歩み アルミ 泉（いずみ） いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み 未定 見舞い 嫌み 未来 受け身 身内（みうち） うのみ:未納 風味 海辺（うみべ） うまみ 見よう 恨み 見栄え 重み 鏡（かがみ） 上期（かみき） 味覚 見掛け 囲み 住みか 味方:味方・身方:見方:高み 身近 三日（みっか） つかみ 中身:中身・中味 深み かゆみ 辛み みかん:仮眠:未完:民家 磨き 手紙 苦み ひがみ 女神（めがみ） ゆがみ 身軽 我が身 見聞き 見向き 切り身:見切り わき見:極み 水着 右手 仕組み たくみ:巧み 含み くぼみ むくみ 脈 薬味 ミルク 恵み 見分け 眉間 励み 土産（みやげ） 仕込み 煮込み 好み へこみ 見込み 暦（こよみ） 未婚 見ごろ 刺身 はさみ（鋏） 酸味 下見 見出し 七味 渋み 趣味 白身 市民 なじみ もみじ:もみじ（紅葉）:紅葉（もみじ） 微塵（みじん） 進み ミセス 捨て身 ミスト 盗み 休み 弾み 見せ場 未然 細身 よそ見 望み 畳（たたみ） 立ち見 見立て 頼み 見た目 たるみ 涙 乱れ 縮み ちなみ 夜道 ミンチ:珍味 三つ 包み 密度 津波 積み荷 秘密 つまみ 強み 読み手 港（みなと） ひとみ 認め とろみ 都民 緑 花見 南（みなみ） 悩み 身なり みんな 飲み屋 湯飲み 実り 不眠 身振り 身分 見本 まるみ（丸・円）:丸み 未満 緩み 弱み ミラー みりん 未練
みよ	読み:読み［〜が外れる］	7	う こ そ ち つ て わ	うみよ こみよ そみよ ちみよ つみよ てみよ みよわ	見よう 暦（こよみ） よそ見 夜道 強み 読み手 弱み
みり	ミリ	6	き ど な の ぶ ん	きみり どみり なみり のみり ぶみり みりん	切り身:見切り 緑 身なり 実り 身振り みりん
みる	みる	6	あ が く た ま ゆ	あみる がみる くみる たみる まみる みゆる	アルミ 身軽 ミルク たるみ まるみ（丸・円）:丸み 緩み
むら	村（むら）	2	ぐ こ	ぐむら こむら	グラム コラム
むり	無理	3	け ず ね	けむり ずむり ねむり	煙（けむり） リズム 眠り
めも	メモ	3	か と ん	かめも とめも めもん	かもめ 求め:目もと 木綿
めや	やめ	3	く す は	くめや すめや はめや	役目 休め:安め:目安 はやめ（早・速）:早め:速め
めよ	嫁	1	い	いめよ	余命:名誉
めん	綿（めん）:面（めん）:麺	13	か が く ご し じ ず せ ば ま も り ろ	かめん がめん くめん ごめん しめん じめん ずめん せめん ばめん まめん めもん めりん めろん	仮面 画面 工面 御免:御免［もう〜だ］ 紙面 地面 メンズ:図面 目線 場面 メンマ 木綿 裏面 メロン:路面
もも	もも:桃	63	あせ いお うけ うす うふ うほ うよ えじ えの おさ おて おに おみ かく かつ かめ きち きど きの ぎん くさ くじ くず くひ くり くん こじ こち こど この こり ころ こん さろ しや じと じみ じん せた だれ ちて ちば ちひ っぷ つに つり てと でる とね とま とめ どり どー にの のひ はん ぶん まり めん より らる るー れん	あせも いおも うけも うすも うふも うほも うもよ えじも えのも おさも おても おにも おみも かくも かつも かめも きちも きども きのも ぎもん くさも くじも くずも くひも くもり くもん こじも こちも こども このも こもり こもろ こもん さもろ しもや じとも じみも じもん せたも だもれ ちても ちばも ちひも っぷも つにも つもり てとも でもる とねも とまも とめも どもり どもー にのも のひも はもん ぶもん まもり めもん もより もらる もるー もれん	あせも 思い もうけ 相撲 不毛:毛布 模倣 模様 絵文字 獲物 重さ 表（おもて） 重荷 重み 科目:課目 貨物 かもめ 気持ち もどき 着物 疑問 模索 目次 もずく 黙秘 曇り 文句 小文字（こもじ） 子持ち 子供 小物 子守（こもり） 衣（ころも） 顧問 もろさ もやし 地もと もみじ:もみじ（紅葉）:紅葉（もみじ） 自問 持たせ だれも 手持ち 持ち場 日持ち モップ 荷物 積もり 手もと モデル 根元（ねもと） まとも:まとも［〜に］ 求め:目もと 戻り モード 煮物 干物（ひもの） 模範 部門 守り 木綿 最寄り モラル モール レモン
もや	もや	1	し	しもや	もやし
もり	森:盛（も）り	6	く こ つ ど ま よ	くもり こもり つもり どもり まもり もより	曇り 子守（こもり） 積もり 戻り 守り 最寄り
もれ	漏れ	2	だ ん	だもれ もれん	だれも レモン
もん	門（もん）	8	ぎ く こ じ は ぶ め れ	ぎもん くもん こもん じもん はもん ぶもん めもん もれん	疑問 文句 顧問 自問 模範 部門 木綿 レモン
より	より	3	う た も	うより たより もより	利用 便り:頼り 最寄り
らん	欄	8	い が く ち ど な は ぷ	いらん がらん くらん ちらん どらん ならん はらん ぷらん	ライン:ライン［合格〜］ 裸眼 ランク ランチ ランド 何ら 波乱:波瀾・波乱 プラン:ランプ
りわ	割（わり）	5	お か ぎ す ま	おりわ かりわ ぎりわ すりわ まりわ	終わり かわり（代・替）:代わり:分かり:変わり:替わり 輪切り 座り 周り:回り
るわ	悪（わる）	2	ぎ さ	ぎるわ さるわ	悪気（わるぎ） 悪さ
れわ	割れ	4	か す め ら	かれわ すれわ めれわ られわ	分かれ:別れ 忘れ 割れ目 我ら
わん	わん（椀・碗）:碗（わん）	6	い お か ご さ で	いわん おわん かわん ごわん さわん でわん	ワイン おわん 緩和 ワゴン 左腕 電話
